Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Standard Deviation
0xf63cae8d5adbf44e3f12d6db53a5d2c08cefaabcbac74bc36011176f0b3bdd16,12369605,1620156227,5/4/2021 19:23,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xa18de17a1f363e695d0d459b1771cbca6ec7b44d,2500,38049.88049
0x7bcfd9f36ed786d6d6286353f45aede7cc966862063e3acad20dbac584926aad,12369623,1620156476,5/4/2021 19:27,0xe64ddadbdbd11b21112107ac2d0cfb978bdacea7,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,9355.5,17177.58548
0x97b6f18df2af0733d4273fdeab4d641b151231f44ffc0ae5eab8634a2391c65e,12369624,1620156510,5/4/2021 19:28,0x7dd2af112f35c7aac95cde8cfa7c4cdb485e304f,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,26974.27623,56013.93778
0x1286b524cc3d563d533fc2d133764c3a233c21fd1c963ef3496568c000e801e0,12369624,1620156510,5/4/2021 19:28,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xf1c52f112e4a31884f55b61db49a1355b1d7c72d,766.9843581,-12679.96996
0x43665be3c18e5cb592d3980d769c5507720894fbcd786ae9f16c9972aed08711,12369628,1620156586,5/4/2021 19:29,0x1df428833f2c9fb1ef098754e5d710432450d706,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,76175.55515,18971.26669
0x1624cc5e7fb260c2c838a5176d5d0123d850059c4d0f6344a4168feaa24cd21a,12369631,1620156618,5/4/2021 19:30,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x18df3818e91e7704b77493187bb4a3466aafd5dd,3705.928767,62434.06144
0x5155037ff9cc7d4cf147e917b5538850835f67463e0618d4bbd5d2f9f760b528,12369643,1620156759,5/4/2021 19:32,0x5dd39a3fc1c33e4411438e79bf86d4fab4f6932f,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,1000,17227.45314
0xa82a562f39840d2ca7628f1f72c083963e84aedd0dfcca042eadba21a9c8f0aa,12369657,1620156959,5/4/2021 19:35,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,2105.720518,50898.80045
0x58e85bd0c17f3d2a62ba3190d4059a962f2301de03283db3de016c89bb72aa34,12369666,1620157067,5/4/2021 19:37,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x59903993ae67bf48f10832e9be28935fee04d6f6,10569.76294,46515.84636
0x21fd6a85695e5211859b6b4918c28833aa7c446a40faf695d70d083f166f025a,12369666,1620157067,5/4/2021 19:37,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x848f11e9c468be9ef6bf5f1daa742e6adf25d7a7,13676.27178,41517.29871
0x234e5e30578108a8548eb7160c9ff88438842dc5a28955106a6468108599657f,12369666,1620157067,5/4/2021 19:37,0x59903993ae67bf48f10832e9be28935fee04d6f6,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,10569.76294,15342.9956
0x5c755c9a322b568823519edfba2e4ec299007906420308e1dc97ae55d3cf39a1,12369668,1620157109,5/4/2021 19:38,0xcae46a7aec75320cb2c3ef014db0aca3ce612d68,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,25000,34782.17835
0x8382e827b97f9de7fc8058b689fecac5e32f52c92e51876f43fb642ec6d5faa9,12369673,1620157147,5/4/2021 19:39,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xdeebc0991989ff715aedbbf05f88a86a254b430c,14362.32957,100502.5991
0xe1ddae92f4fc47a6f1c4267888c6a1455e07ce10080322539c7c254719b55c3f,12369679,1620157226,5/4/2021 19:40,0x170ae47ba9b913c33f038aa011b5b83935e86091,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,6532.395488,-4961.405356
0x0c3a06d6225d814887089f20eabfd26b0ddd8cff3ce7ea17f7036668edbd9a67,12369683,1620157277,5/4/2021 19:41,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,17339.9553,32382.43531
0xd29f7d6eed5a3171006c390c3db33611d1466f0fd8114cd2d9119de664068294,12369684,1620157300,5/4/2021 19:41,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xe64ddadbdbd11b21112107ac2d0cfb978bdacea7,1356.697913,49965.75568
0x34e591e333e707ea8c0a341c66787da43f0761884be2fe69625dc30065f2d2f5,12369698,1620157450,5/4/2021 19:44,0xf9f448a6b540d70140d6c6e2baa88510a448092e,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,11249.04146,34301.86975
0x552aacad2e8bab67cfb3f3020e85d31d2b9c80c60222dedbb39e0ba412f6fe12,12369706,1620157518,5/4/2021 19:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0xde5bacc8880421fa08864d240627862e4423eaa2,11381.67927,20081.93687
0xd2c6c63dab4cc80a55c2f3108798398bf0360c24d1d30a604a18e53e318305d7,12369707,1620157542,5/4/2021 19:45,0x59c1349bc6f28a427e78ddb6130ec669c2f39b48,0x4cbefba4564e8eababe61d52772c8c47fa473699,5703.417377,56322.38909
